label_window_years,split_or_cohort,rows,positives,prevalence
0,train,210028,145,0.0006903841392576228
0,validation,45437,18,0.00039615291502519975
0,mature test through FY2022,51627,36,0.0006973095473298855
0,FY2023 incomplete follow-up,24296,30,0.0012347711557458018
1,train,210028,285,0.0013569619288856724
1,validation,45437,67,0.00147456918370491
1,mature test through FY2022,51627,75,0.0014527282236039283
1,FY2023 incomplete follow-up,24296,38,0.0015640434639446824
2,train,210028,426,0.002028300988439637
2,validation,45437,113,0.002486959966547087
2,mature test through FY2022,51627,115,0.002227516609526023
2,FY2023 incomplete follow-up,24296,38,0.0015640434639446824
3,train,210028,581,0.0027662978269564057
3,validation,45437,156,0.003433325263551731
3,mature test through FY2022,51627,123,0.002382474286710442
3,FY2023 incomplete follow-up,24296,44,0.0018109976950938427
