model,top_fraction,top_k,true_positives_captured,precision_at_k,recall_at_k,lift_over_prevalence
Logistic regression,0.005,380,9,0.02368421052631579,0.05389221556886228,10.767522849038766
Logistic regression,0.01,759,12,0.015810276679841896,0.0718562874251497,7.187806205770277
Logistic regression,0.02,1518,17,0.011198945981554678,0.10179640718562874,5.0913627290872805
Logistic regression,0.05,3796,28,0.007376185458377239,0.16766467065868262,3.3534259194992524
Logistic regression,0.1,7592,40,0.005268703898840885,0.23952095808383234,2.3953042282137518
Random forest,0.005,380,6,0.015789473684210527,0.03592814371257485,7.178348566025844
Random forest,0.01,759,7,0.00922266139657444,0.041916167664670656,4.192886953365996
Random forest,0.02,1518,10,0.006587615283267457,0.059880239520958084,2.9949192524042827
Random forest,0.05,3796,18,0.004741833508956797,0.10778443113772455,2.1557738053923767
Random forest,0.1,7592,32,0.004214963119072708,0.19161676646706588,1.9162433825710012
Extra trees,0.005,380,7,0.018421052631578946,0.041916167664670656,8.374739993696817
Extra trees,0.01,759,12,0.015810276679841896,0.0718562874251497,7.187806205770277
Extra trees,0.02,1518,19,0.012516469038208168,0.11377245508982035,5.6903465795681365
Extra trees,0.05,3796,27,0.007112750263435195,0.16167664670658682,3.233660708088565
Extra trees,0.1,7592,43,0.005663856691253952,0.25748502994011974,2.574952045329783
Gradient boosting,0.005,380,4,0.010526315789473684,0.023952095808383235,4.785565710683896
Gradient boosting,0.01,759,4,0.005270092226613966,0.023952095808383235,2.3959354019234262
Gradient boosting,0.02,1518,5,0.0032938076416337285,0.029940119760479042,1.4974596262021413
Gradient boosting,0.05,3796,14,0.0036880927291886197,0.08383233532934131,1.6767129597496262
Gradient boosting,0.1,7592,29,0.003819810326659642,0.17365269461077845,1.73659556545497
HistGradientBoosting,0.005,380,2,0.005263157894736842,0.011976047904191617,2.392782855341948
HistGradientBoosting,0.01,759,3,0.003952569169960474,0.017964071856287425,1.7969515514425694
HistGradientBoosting,0.02,1518,5,0.0032938076416337285,0.029940119760479042,1.4974596262021413
HistGradientBoosting,0.05,3796,13,0.003424657534246575,0.07784431137724551,1.5569477483389387
HistGradientBoosting,0.1,7592,28,0.0036880927291886197,0.16766467065868262,1.6767129597496262
DeepCut-inspired neural threshold,0.005,380,6,0.015789473684210527,0.03592814371257485,7.178348566025844
DeepCut-inspired neural threshold,0.01,759,7,0.00922266139657444,0.041916167664670656,4.192886953365996
DeepCut-inspired neural threshold,0.02,1518,7,0.00461133069828722,0.041916167664670656,2.096443476682998
DeepCut-inspired neural threshold,0.05,3796,30,0.007903055848261328,0.17964071856287425,3.592956342320628
DeepCut-inspired neural threshold,0.1,7592,60,0.007903055848261328,0.3592814371257485,3.592956342320628
