model,metric,estimate,ci_lower,ci_upper,bootstrap_reps,cluster_unit
Logistic regression,roc_auc,0.6866797056923695,0.5726938344818321,0.7846513102586022,1000,CIK firm
Logistic regression,pr_auc,0.005907473369297034,0.0023681333485901655,0.01493886157231871,1000,CIK firm
Logistic regression,brier,0.1794685531109623,0.17493559567918435,0.18405635400794085,1000,CIK firm
Logistic regression,recall_top_0.02,0.10179640718562874,0.011904761904761904,0.23772255998262942,1000,CIK firm
Logistic regression,recall_top_0.05,0.16766467065868262,0.04905276073619632,0.3238538205980066,1000,CIK firm
Logistic regression,recall_top_0.1,0.23952095808383234,0.08887254901960785,0.4037399233513942,1000,CIK firm
Random forest,roc_auc,0.6500185120018162,0.561280731743105,0.7360929934595234,1000,CIK firm
Random forest,pr_auc,0.004237373545602116,0.0017635441435822272,0.013401940876820291,1000,CIK firm
Random forest,brier,0.002500889963363825,0.001560392268734483,0.0035792785882908917,1000,CIK firm
Random forest,recall_top_0.02,0.059880239520958084,0.0,0.172438708391469,1000,CIK firm
Random forest,recall_top_0.05,0.10778443113772455,0.010926007975188303,0.24124384056203343,1000,CIK firm
Random forest,recall_top_0.1,0.19161676646706588,0.07024428274428275,0.3500510204081632,1000,CIK firm
Extra trees,roc_auc,0.6422118538149426,0.5218313394169548,0.7673490024132315,1000,CIK firm
Extra trees,pr_auc,0.005505967113976588,0.002171632173811112,0.014779919385390992,1000,CIK firm
Extra trees,brier,0.046583931483177514,0.044974860062222524,0.04810019796157881,1000,CIK firm
Extra trees,recall_top_0.02,0.11377245508982035,0.01759045280566188,0.23470888355342137,1000,CIK firm
Extra trees,recall_top_0.05,0.16167664670658682,0.0363317384370016,0.3067343781700141,1000,CIK firm
Extra trees,recall_top_0.1,0.25748502994011974,0.08070039228506048,0.4672515368852459,1000,CIK firm
Gradient boosting,roc_auc,0.621104970480392,0.5045651680525809,0.7272515294981671,1000,CIK firm
Gradient boosting,pr_auc,0.0032877482741150025,0.0015334799889531135,0.007409571034148156,1000,CIK firm
Gradient boosting,brier,0.14653898744704474,0.14354533139150738,0.14987105945056942,1000,CIK firm
Gradient boosting,recall_top_0.02,0.029940119760479042,0.0,0.07585672621217643,1000,CIK firm
Gradient boosting,recall_top_0.05,0.08383233532934131,0.0,0.18902514864700887,1000,CIK firm
Gradient boosting,recall_top_0.1,0.17365269461077845,0.04290057740887766,0.32123059866962306,1000,CIK firm
HistGradientBoosting,roc_auc,0.6554457218937698,0.5313118141083276,0.763059866225676,1000,CIK firm
HistGradientBoosting,pr_auc,0.0036236866346776387,0.0016905482008678318,0.007460953983918105,1000,CIK firm
HistGradientBoosting,brier,0.027110253037967092,0.02553018152118427,0.028840499877063715,1000,CIK firm
HistGradientBoosting,recall_top_0.02,0.029940119760479042,0.0,0.09175368874984145,1000,CIK firm
HistGradientBoosting,recall_top_0.05,0.07784431137724551,0.00989501124025446,0.16669999999999996,1000,CIK firm
HistGradientBoosting,recall_top_0.1,0.16766467065868262,0.05727982954545455,0.29268728222996515,1000,CIK firm
DeepCut-inspired neural threshold,roc_auc,0.7669747626559016,0.647893572076267,0.8617536832223224,1000,CIK firm
DeepCut-inspired neural threshold,pr_auc,0.0073840740728102,0.0032275025523304654,0.0197083869282446,1000,CIK firm
DeepCut-inspired neural threshold,brier,0.20671976556479174,0.20130183441159838,0.21184102748628894,1000,CIK firm
DeepCut-inspired neural threshold,recall_top_0.02,0.041916167664670656,0.0,0.11353303471444563,1000,CIK firm
DeepCut-inspired neural threshold,recall_top_0.05,0.17964071856287425,0.039320406210905885,0.3394608396981064,1000,CIK firm
DeepCut-inspired neural threshold,recall_top_0.1,0.3592814371257485,0.18460526315789474,0.5283142349105996,1000,CIK firm
